排名,品牌名称,门店数约,人均消费约,菜系,门店数区间,人均消费区间,门店数估算,人均消费估算
3,莆田餐厅,180,80,闽菜,,,,
4,客家餐厅,150,60,闽菜,,,,
5,福州酒家,100,90,闽菜,,,,
6,闽南酒楼,80,70,闽菜,,,,
7,厦门海鲜城,60,100,闽菜,,,,
8,泉州小吃,50,25,闽菜,,,,
9,漳州餐厅,40,45,闽菜,,,,
10,龙岩酒家,30,55,闽菜,,,,
1,船歌鱼水饺,200,70,鲁菜,,,,
2,老济南四合院,180,80,鲁菜,,,,
3,城南往事,150,65,鲁菜,,,,
4,闫府私房菜,120,75,鲁菜,,,,
5,鲁味居,100,60,鲁菜,,,,
6,丰泽园,80,150,鲁菜,,,,
7,聚丰德,60,120,鲁菜,,,,
8,鸿宾楼,50,180,鲁菜,,,,
9,东兴楼,40,150,鲁菜,,,,
10,同和居,30,120,鲁菜,,,,
